Chemical Information										Mixture Information				exact mass		theoretical m/z			measured m/z			Ion mobilty			Chromatography				NAPS RT Pre																					NAPS RT Post																			
ChEBI name	ChEBI	KEGG	HMDB	LipidMaps	SMILES	InChI	InChIKey	formula		Chemical Exposome	Mixture	Mix Name		M		[M+H]+	[M+Na]+		[M+H]+	[M+Na]+		CCS [M+H]+	CCS [M+Na]+		RT (apex)	RT (minim)	RT (maxim)		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
sarcosine	CHEBI:15611	C00213	HMDB0000271		CNCC(O)=O	InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)	FSYKKLYZXJSNPZ-UHFFFAOYSA-N	C3H7NO2		Human Endosome	1.1	Human Endosome_1.1		89.04767846		90.05495446	112.0368985		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
D-alpha-aminobutyric acid	CHEBI:28797	C02261	HMDB0000650	LMFA01100043	CC[C@@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	QWCKQJZIFLGMSD-GSVOUGTGSA-N	C4H9NO2		Human Endosome	1.1	Human Endosome_1.1		103.0633285		104.0706045	126.0525485		Detected with low intensity						0.476	0.416	0.635		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-valine	CHEBI:16414	C00183	HMDB0000883		CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	KZSNJWFQEVHDMF-BYPYZUCNSA-N	C5H11NO2		Human Endosome	1.1	Human Endosome_1.1		117.0789786		118.0862546	140.0681986		118.0869	Not detected					0.476	0.438	0.605		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-homoserine	CHEBI:15699	C00263	HMDB0000719		N[C@@H](CCO)C(O)=O	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1	UKAUYVFTDYCKQA-VKHMYHEASA-N	C4H9NO3		Human Endosome	1.1	Human Endosome_1.1		119.0582431		120.0655191	142.0474631		120.066	142.0475					0.416	0.386	0.446		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-lysine	CHEBI:18019	C00047	HMDB0000182		NCCCC[C@H](N)C(O)=O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	KDXKERNSBIXSRK-YFKPBYRVSA-N	C6H14N2O2		Human Endosome	1.1	Human Endosome_1.1		146.1055277		147.1128037	169.0947477		147.1126	169.0942					0.396	0.347	0.575		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-acetyl-L-cysteine	CHEBI:28939	C06809	HMDB0001890		CC(=O)N[C@@H](CS)C(O)=O	InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1	PWKSKIMOESPYIA-BYPYZUCNSA-N	C5H9NO3S		Human Endosome	1.1	Human Endosome_1.1		163.0303141		164.0375901	186.0195341		164.038	186.0202					0.775	0.725	0.905		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-alpha-acetyl-L-asparagine	CHEBI:139582		HMDB0006028		CC(=O)N[C@@H](CC(N)=O)C(O)=O	InChI=1S/C6H10N2O4/c1-3(9)8-4(6(11)12)2-5(7)10/h4H,2H2,1H3,(H2,7,10)(H,8,9)(H,11,12)/t4-/m0/s1	HXFOXFJUNFFYMO-BYPYZUCNSA-N	C6H10N2O4		Human Endosome	1.1	Human Endosome_1.1		174.0640568		175.0713328	197.0532768		175.0715	Detected with low intensity					0.466	0.426	0.655		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-citrulline	CHEBI:16349	C00327	HMDB0000904		N[C@@H](CCCNC(N)=O)C(O)=O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	RHGKLRLOHDJJDR-BYPYZUCNSA-N	C6H13N3O3		Human Endosome	1.1	Human Endosome_1.1		175.0956913		176.1029673	198.0849113		176.103	198.0855					0.436	0.386	0.565		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N(6)-acetyl-L-lysine	CHEBI:17752	C02727	HMDB0000206		CC(=O)NCCCC[C@H](N)C(O)=O	InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1	DTERQYGMUDWYAZ-ZETCQYMHSA-N	C8H16N2O3		Human Endosome	1.1	Human Endosome_1.1		188.1160924		189.1233684	211.1053124		189.124	Detected with low intensity					0.466	0.426	0.645		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
5-hydroxy-L-tryptophan	CHEBI:17780	C00643	HMDB0000472		N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1	LDCYZAJDBXYCGN-VIFPVBQESA-N	C11H12N2O3		Human Endosome	1.1	Human Endosome_1.1		220.0847922		221.0920682	243.0740122		221.0929	Detected with low intensity					0.725	0.685	0.765		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
