ID	NAME	DEGREE	NO_CARBON_BOND	VALID_CHEMICAL	IS_SIDE
MAM03143c	vitamin E derivatives	3	true	true	true
MAM01710c	diphospho-myo-inositol-polyphosphate	3	true	true	true
MAM03140c	vitamin D derivatives	5	true	true	true
MAM01975m	glutamine	674	false	true	true
MAM01975c	glutamine	674	false	true	true
MAM01975l	glutamine	674	false	true	true
MAM01975e	glutamine	674	false	true	true
MAM01974r	glutamate	698	false	true	true
MAM01974m	glutamate	698	false	true	true
MAM01974l	glutamate	698	false	true	true
MAM01974c	glutamate	698	false	true	true
MAM01974e	glutamate	698	false	true	true
MAM02553x	NADH	2221	false	true	true
MAM02421c	L-tyrosyl-tRNA(tyr)	542	false	true	true
MAM02554c	NADP+	3829	false	true	true
MAM02554g	NADP+	3829	false	true	true
MAM02554e	NADP+	3829	false	true	true
MAM02554l	NADP+	3829	false	true	true
MAM02554i	NADP+	3829	false	true	true
MAM02554n	NADP+	3829	false	true	true
MAM02554m	NADP+	3829	false	true	true
MAM02554r	NADP+	3829	false	true	true
MAM02554x	NADP+	3829	false	true	true
MAM02555c	NADPH	2954	false	true	true
MAM02555i	NADPH	2954	false	true	true
MAM02555g	NADPH	2954	false	true	true
MAM02555m	NADPH	2954	false	true	true
MAM02555l	NADPH	2954	false	true	true
MAM02555n	NADPH	2954	false	true	true
MAM02555r	NADPH	2954	false	true	true
MAM02555x	NADPH	2954	false	true	true
MAM02552e	NAD+	2680	false	true	true
MAM02552c	NAD+	2680	false	true	true
MAM02552n	NAD+	2680	false	true	true
MAM02552m	NAD+	2680	false	true	true
MAM02552r	NAD+	2680	false	true	true
MAM02552x	NAD+	2680	false	true	true
MAM02553c	NADH	2221	false	true	true
MAM02553e	NADH	2221	false	true	true
MAM02420c	L-tryptophanyl-tRNA(trp)	517	false	true	true
MAM02553n	NADH	2221	false	true	true
MAM02553m	NADH	2221	false	true	true
MAM02553r	NADH	2221	false	true	true
MAM02426c	lysine	628	false	true	true
MAM02426e	lysine	628	false	true	true
MAM02426l	lysine	628	false	true	true
MAM02426n	lysine	628	false	true	true
MAM02426m	lysine	628	false	true	true
MAM02426x	lysine	628	false	true	true
MAM02423c	L-valyl-tRNA(val)	563	false	true	true
MAM01831r	formaldehyde	79	true	true	true
MAM01831l	formaldehyde	79	true	true	true
MAM01831m	formaldehyde	79	true	true	true
MAM01831x	formaldehyde	79	true	true	true
MAM01831c	formaldehyde	79	true	true	true
MAM01831e	formaldehyde	79	true	true	true
MAM01833r	formate	169	true	true	true
MAM03395g	Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)	10	true	true	true
MAM01833n	formate	169	true	true	true
MAM03395l	Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)	10	true	true	true
MAM01833x	formate	169	true	true	true
MAM01833e	formate	169	true	true	true
MAM01833c	formate	169	true	true	true
MAM01833m	formate	169	true	true	true
MAM03393c	Gm4-Pool	7	true	true	true
MAM03393e	Gm4-Pool	7	true	true	true
MAM02419c	L-threonyl-tRNA(thr)	563	false	true	true
MAM03139c	vitamin A derivatives	21	true	true	true
MAM03135e	valine	608	false	true	true
MAM03135c	valine	608	false	true	true
MAM03135m	valine	608	false	true	true
MAM03135l	valine	608	false	true	true
MAM02900c	S-glutathionyl-2-4-dinitrobenzene	655	false	true	true
MAM02900e	S-glutathionyl-2-4-dinitrobenzene	655	false	true	true
MAM02901c	S-glutathionyl-ethacrynic acid	655	false	true	true
MAM02901e	S-glutathionyl-ethacrynic acid	655	false	true	true
MAM02415c	L-prolyl-tRNA(pro)	563	false	true	true
MAM02416c	L-seryl-tRNA(ser)	563	false	true	true
MAM02412c	L-phenylalanyl-tRNA(phe)	563	false	true	true
MAM01602c	cofactors and vitamins	18	true	true	true
MAM00185c	[apocarboxylase]	14	true	true	true
MAM00185m	[apocarboxylase]	14	true	true	true
MAM02578e	NH3	308	true	true	true
MAM02578c	NH3	308	true	true	true
MAM02578n	NH3	308	true	true	true
MAM02578m	NH3	308	true	true	true
MAM02578r	NH3	308	true	true	true
MAM03510c	Methanethiol	6	true	true	true
MAM03510e	Methanethiol	6	true	true	true
MAM02578x	NH3	308	true	true	true
MAM02579c	NH4+	75	true	true	true
MAM02579e	NH4+	75	true	true	true
MAM02579n	NH4+	75	true	true	true
MAM02579m	NH4+	75	true	true	true
MAM02579r	NH4+	75	true	true	true
MAM03511c	Chylomicron Lipoprotein	2	true	true	true
MAM03511e	Chylomicron Lipoprotein	2	true	true	true
MAM02579x	NH4+	75	true	true	true
MAM03647e	High Density Lipoprotein	0	true	true	true
MAM01986r	glycine	841	false	true	true
MAM01986m	glycine	841	false	true	true
MAM01986x	glycine	841	false	true	true
MAM01986c	glycine	841	false	true	true
MAM01986l	glycine	841	false	true	true
